fecha_hora,temp_rtc,temp_dht_raw,temp_dht_cal,hum_dht_raw,hum_dht_cal,vel_viento_kmh,direccion_viento,valor_adc_veleta,lluvia_mm,lluvia_actual_mm,luminosidad_lux,radiacion_solar_wm2,cobertura_nubes_octas,condicion_climatica
2025-03-06 10:13:35,31.5,17.7,17.13,66.2,83.75,9.31,NO,1290,0,0,65536,517.73,3.78,Despejado
2025-03-06 10:18:36,27.75,16.3,16.07,72,91.64,20.67,NO,1300,0,0,65536,517.73,4.29,Nublado
2025-03-06 10:23:36,25,16.7,16.37,72.7,92.59,14.9,NO,1297,0,0,65536,517.73,4.38,Nublado
2025-03-06 10:28:36,26,18,17.36,67.3,85.25,13.18,Desconocido,0,0,0,65536,517.73,3.97,Nublado
2025-03-06 10:33:36,26.5,17.4,16.9,68.5,86.88,13.37,NO,1286,0,0,65536,517.73,4.09,Nublado
2025-03-06 10:38:37,25.5,16.7,16.37,70.9,90.14,13.74,NO,1312,0,0,65536,517.73,4.31,Nublado
2025-03-06 10:43:37,25,17.7,17.13,66.4,84.02,14.81,NO,1315,0,0,65536,517.73,3.97,Despejado
2025-03-06 10:48:37,26,18.4,17.66,66.3,83.89,0,NO,1280,0,0,65536,517.73,3.98,Despejado
2025-03-06 10:53:38,28.75,19.7,18.65,63,79.4,13.52,NO,1278,0,0,65536,517.73,3.74,Despejado
2025-03-06 10:58:38,30.75,17.4,16.9,67,84.84,24.12,NO,1296,0,0,65536,517.73,4.08,Despejado
2025-03-06 11:03:38,28.5,17.8,17.21,65.7,83.07,8.39,O,1747,0,0,65536,517.73,3.99,Despejado
2025-03-06 11:08:39,28.5,17.7,17.13,66.1,83.62,20.19,NO,1297,0,0,65536,517.73,4.04,Despejado
2025-03-06 11:13:40,28,18.3,17.59,65.1,82.26,6.02,NO,1290,0,0,65536,517.73,3.97,Despejado
2025-03-06 11:18:40,30,19.1,18.2,63.5,80.08,0,NO,1314,0,0,65536,517.73,3.86,Despejado
2025-03-06 11:23:40,30.5,19.6,18.58,60.4,75.86,9.5,NO,1306,0,0,65536,517.73,3.61,Despejado
2025-03-06 11:28:41,30,18.5,17.74,67.2,85.11,0,NO,1286,0,0,65536,517.73,4.18,Nublado
2025-03-06 11:33:41,28.75,18.4,17.66,64.5,81.44,5.01,E,4095,0,0,65536,517.73,3.97,Despejado
2025-03-06 11:38:41,27.5,18.6,17.82,63.7,80.35,1.78,SO,1776,0,0,65536,517.73,3.91,Despejado
2025-03-06 11:43:42,27,17.8,17.21,64.6,81.58,11.33,NO,1310,0,0,65536,517.73,3.99,Despejado
2025-03-06 11:48:42,26,18,17.36,65.3,82.53,6.13,E,4095,0,0,65536,517.73,4.05,Despejado
2025-03-06 11:53:43,25,17.3,16.83,68.1,86.34,5.83,NO,1310,0,0,65536,517.73,4.28,Nublado
2025-03-06 11:58:43,25,18,17.36,67.2,85.11,7.76,SO,1770,0,0,65536,517.73,4.21,Nublado
2025-03-06 12:03:43,25.5,18.1,17.44,65.3,82.53,12.15,NO,1281,0,0,65536,517.73,4.05,Despejado
