fecha,temperatura_C,humedad_relativa,precipitacion_mm,cobertura_nubes_octas,velocidad_viento_kmh,radiacion_solar_J_m2
2025-04-13 00:00:00,11.4,89.8,0.0,2.4,0.0,0.0
2025-04-13 01:00:00,11.5,84.0,0.0,2.4,0.0,0.0
2025-04-13 02:00:00,9.1,88.9,0.0,2.4,0.0,0.0
2025-04-13 03:00:00,9.3,87.8,0.0,2.4,0.0,0.0
2025-04-13 04:00:00,8.4,89.4,0.0,2.4,0.0,0.0
2025-04-13 05:00:00,7.8,89.9,0.0,2.4,0.0,0.0
2025-04-13 06:00:00,7.7,89.7,0.0,2.4,0.0,15.0
2025-04-13 07:00:00,15.6,61.7,0.0,1.06,0.0,46293.0
2025-04-13 08:00:00,17.2,56.6,0.0,0.64,0.0,908526.0
2025-04-13 09:00:00,19.6,51.1,0.0,1.71,0.0,1638279.0000000002
2025-04-13 10:00:00,21.3,47.3,0.0,2.26,1.45,1785663.0
2025-04-13 11:00:00,23.4,43.0,0.0,2.6,5.69,1843200.0
2025-04-13 12:00:00,24.2,46.1,0.0,2.7,5.69,1858245.0
2025-04-13 13:00:00,26.0,42.2,0.0,2.59,0.0,1833138.0
2025-04-13 14:00:00,21.3,62.2,0.0,3.34,5.29,1817315.9999999998
2025-04-13 15:00:00,21.6,63.5,0.0,2.69,8.02,1173747.0
2025-04-13 16:00:00,18.6,72.2,0.0,1.91,5.69,1028366.9999999999
2025-04-13 17:00:00,17.1,79.3,0.0,2.4,3.58,476091.0000000001
2025-04-13 18:00:00,16.5,77.1,0.0,2.31,0.0,186102.0
2025-04-13 19:00:00,14.9,73.0,0.0,1.98,0.0,39297.000000000015
2025-04-13 20:00:00,14.9,81.0,0.0,2.4,0.0,444.0
2025-04-13 21:00:00,13.4,86.1,0.0,2.4,0.0,0.0
2025-04-13 22:00:00,12.1,88.7,0.0,2.4,0.0,0.0
2025-04-13 23:00:00,11.5,90.1,0.0,2.4,0.0,0.0
2025-04-14 00:00:00,10.2,90.9,0.0,2.4,0.0,0.0
2025-04-14 01:00:00,9.4,91.1,0.0,2.4,0.0,0.0
2025-04-14 02:00:00,9.5,91.3,0.0,2.4,0.0,0.0
2025-04-14 03:00:00,8.7,91.1,0.0,2.4,0.0,0.0
2025-04-14 04:00:00,8.8,91.4,0.0,2.4,0.0,0.0
2025-04-14 05:00:00,8.7,91.4,0.0,2.4,0.0,0.0
2025-04-14 06:00:00,8.3,91.5,0.0,2.4,0.0,318.0
