fecha,temperatura_C,humedad_relativa,precipitacion_mm,cobertura_nubes_octas,velocidad_viento_kmh,radiacion_solar_J_m2
2018-01-01 00:00:00,15.13,95.94,0.023633242,7.537820816,2.46,0.0
2018-01-01 01:00:00,14.84,96.62,0.010374933,6.619932175,2.84,0.0
2018-01-01 02:00:00,14.69,96.24,0.026859343,6.844429493,2.92,0.0
2018-01-01 03:00:00,14.55,96.86,0.217545778,7.519021034,3.44,0.0
2018-01-01 04:00:00,14.09,98.64,0.506088138,7.905513287,2.88,0.0
2018-01-01 05:00:00,13.93,99.5,0.455662608,8.0,2.53,0.0
2018-01-01 06:00:00,13.98,99.43,0.619374216,7.962156296,2.38,0.0
2018-01-01 07:00:00,13.94,98.59,0.20172447,7.955564499,2.84,0.0
2018-01-01 08:00:00,13.76,98.55,0.095129013,7.808829308,3.15,0.0
2018-01-01 09:00:00,13.64,98.97,0.134579837,7.89770031,2.79,0.0
2018-01-01 10:00:00,13.46,96.7,0.456742942,7.770009041,3.14,0.0
2018-01-01 11:00:00,13.66,97.41,0.224202871,7.971189976,2.93,0.0
2018-01-01 12:00:00,13.99,95.09,0.205531716,7.971189976,1.54,74642.0
2018-01-01 13:00:00,14.78,93.81,0.770971179,8.0,1.32,400184.0
2018-01-01 14:00:00,15.45,92.87,0.466927886,8.0,1.59,809002.0
2018-01-01 15:00:00,16.22,92.3,0.140011311,7.886713505,2.63,1123172.0
2018-01-01 16:00:00,16.83,93.86,0.188201666,7.005569935,3.69,1475056.0
2018-01-01 17:00:00,17.1,92.41,0.458240509,7.841057301,5.01,1800492.0
2018-01-01 18:00:00,16.94,93.73,0.586846471,6.77216053,5.91,1608168.0
2018-01-01 19:00:00,17.7,91.58,0.757157803,6.529107571,4.57,1960392.0
2018-01-01 20:00:00,18.05,93.8,0.770032406,4.915752411,4.99,1820496.0
2018-01-01 21:00:00,17.54,91.05,0.463008881,5.736590862,4.72,1327212.0
2018-01-01 22:00:00,16.64,90.87,0.706538558,6.803411961,4.08,665848.0
2018-01-01 23:00:00,15.43,91.45,0.877559185,7.618878841,1.54,136372.0
2018-01-02 00:00:00,14.87,96.06,0.374242663,7.661117077,1.12,0.0
